terms	cellType	value
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP	1	0.34325099808538
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP	2	0.0955292204200252
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP	3	-0.261252131005449
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP	4	0.124839807253307
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP	5	-0.392723351051405
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP	6	-0.0345177113512229
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP	7	0.0252516818572985
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP	8	-0.0559133220725357
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP	9	0.456381815878634
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP	10	-0.0565492160974579
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP	11	0.209373023550578
ABRAMSON_INTERACT_WITH_AIRE	0	-0.00339702683152335
ABRAMSON_INTERACT_WITH_AIRE	1	0.0055170982906544
ABRAMSON_INTERACT_WITH_AIRE	2	-0.364512691609425
ABRAMSON_INTERACT_WITH_AIRE	3	-0.366891796847764
ABRAMSON_INTERACT_WITH_AIRE	4	-0.265052021745027
ABRAMSON_INTERACT_WITH_AIRE	5	-0.105471074764186
ABRAMSON_INTERACT_WITH_AIRE	6	0.576447575472201
ABRAMSON_INTERACT_WITH_AIRE	7	-0.1490916323692
ABRAMSON_INTERACT_WITH_AIRE	8	-0.0556868924929967
ABRAMSON_INTERACT_WITH_AIRE	9	-0.0467005512539262
ABRAMSON_INTERACT_WITH_AIRE	10	0.215313534253599
ABRAMSON_INTERACT_WITH_AIRE	11	0.388392464206065
ACEVEDO_LIVER_CANCER_DN	0	-0.240363947862189
ACEVEDO_LIVER_CANCER_DN	1	-0.171337527715031
ACEVEDO_LIVER_CANCER_DN	2	0.0573417953768222
ACEVEDO_LIVER_CANCER_DN	3	-0.305700127758584
ACEVEDO_LIVER_CANCER_DN	4	-0.266284537324358
ACEVEDO_LIVER_CANCER_DN	5	-0.102690525181602
ACEVEDO_LIVER_CANCER_DN	6	-0.0667116280823987
ACEVEDO_LIVER_CANCER_DN	7	0.0752968485535351
ACEVEDO_LIVER_CANCER_DN	8	-0.120155552679902
ACEVEDO_LIVER_CANCER_DN	9	-0.00948370153596712
ACEVEDO_LIVER_CANCER_DN	10	0.0678408968434973
ACEVEDO_LIVER_CANCER_DN	11	0.110646988854426
ACEVEDO_LIVER_CANCER_UP	0	-0.256820100899762
ACEVEDO_LIVER_CANCER_UP	1	-0.188242669273822
ACEVEDO_LIVER_CANCER_UP	2	-0.253846322569904
ACEVEDO_LIVER_CANCER_UP	3	-0.306191062566787
ACEVEDO_LIVER_CANCER_UP	4	-0.421894539038798
ACEVEDO_LIVER_CANCER_UP	5	-0.178263038412791
ACEVEDO_LIVER_CANCER_UP	6	0.024295612648231
ACEVEDO_LIVER_CANCER_UP	7	-0.0212570724959419
ACEVEDO_LIVER_CANCER_UP	8	-0.28071605353585
ACEVEDO_LIVER_CANCER_UP	9	-0.265366387395549
ACEVEDO_LIVER_CANCER_UP	10	0.044594110865409
ACEVEDO_LIVER_CANCER_UP	11	0.154545250101195
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN	0	-0.175302334337155
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN	1	0.0488389138288222
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN	2	-0.130595710196335
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN	3	-0.0999483789943176
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN	4	0.0354173975332442
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN	5	-0.0549466930382019
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN	6	0.0544352064067402
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN	7	-0.238945053475831
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN	8	-0.109964799603493
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN	9	-0.0389781649255914
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN	10	-0.00985616663254082
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN	11	-0.0101673147871881
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP	0	-0.0420914581275175
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP	1	0.0715748877936593
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP	2	-0.102700738270702
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP	3	-0.106074928503072
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP	4	0.150547125990043
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP	5	-0.0312405323309532
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP	6	-0.200299578138196
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP	7	-0.173154941880368
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP	8	0.235963367332354
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP	9	0.236091034915628
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP	10	-0.110924892423907
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP	11	-0.135466947884906
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN	0	-0.196950303725559
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN	1	-0.136735895543667
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN	2	-0.338649606758818
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN	3	-0.341330728646509
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN	4	-0.325325239162904
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN	5	-0.221965531287413
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN	6	-0.0724412271332549
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN	7	-0.252198625492707
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN	8	-0.18232648928018
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN	9	-0.0091941587277922
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN	10	-0.0846748830971225
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN	11	-0.17744186000223
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP	0	-0.191659878419506
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP	1	-0.174548774718402
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP	2	-0.180666301716638
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP	3	-0.312368369374739
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP	4	-0.0698945385009749
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP	5	-0.0273361321604462
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP	6	-0.351288581997378
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP	7	-0.216697296353753
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP	8	-0.182672343471098
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP	9	-0.170418878333701
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP	10	-0.245481211723102
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP	11	-0.197395375257401
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN	0	-0.138221874770037
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN	1	-0.0398738201836935
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN	2	0.0670606638848915
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN	3	-0.22421297947771
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN	4	-0.1682064614198
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN	5	-0.00973752414241161
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN	6	-0.138295993271445
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN	7	0.0106545208522623
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN	8	-0.0901822199063622
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN	9	0.049274675773063
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN	10	0.148655659461376
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN	11	0.046518405168488
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP	0	-0.300095245388865
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP	1	-0.196921951482825
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP	2	-0.272235796178325
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP	3	-0.309115397099682
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP	4	-0.432488579748578
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP	5	-0.236585278525579
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP	6	0.0952334984947125
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP	7	-0.111224867712928
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP	8	-0.255990399675414
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP	9	-0.188972884924027
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP	10	-0.0241039635966649
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP	11	0.168629700600662
ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN	0	-0.167729034461891
ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN	1	-0.0952693523507179
ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN	2	-0.133711601781291
ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN	3	-0.153465129548262
ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN	4	-0.133407101687725
ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN	5	-0.138099197610495
ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN	6	-0.208320031139354
ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN	7	-0.108632029730626
ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN	8	0.00781046260637819
ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN	9	0.0357951162509945
ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN	10	-0.0249524027073776
ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN	11	-0.103864453223376
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN	0	-0.277457413130913
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN	1	-0.178057881486324
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN	2	0.00518261075146105
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN	3	-0.30229737194716
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN	4	-0.338467177577582
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN	5	-0.0983290476043056
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN	6	0.075991733116629
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN	7	0.0598131011908102
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN	8	-0.0882486664232873
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN	9	-0.00641699577366164
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN	10	0.128542341363572
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN	11	0.242665214275584
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP	0	-0.227283514790644
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP	1	-0.214022621296693
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP	2	-0.220717841947219
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP	3	-0.23119170948788
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP	4	-0.268111619011893
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP	5	-0.188835739455193
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP	6	-0.00371365948205754
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP	7	-0.0714287333115552
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP	8	-0.142803496243637
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP	9	-0.124270968610694
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP	10	0.0157289559313956
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP	11	0.125784325744269
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN	0	-0.328374887215654
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN	1	-0.21585668679753
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN	2	-0.0528927511438082
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN	3	-0.359244224226117
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN	4	-0.266421680604156
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN	5	-0.0424775335259766
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN	6	-0.304332938686815
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN	7	0.0621783298307669
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN	8	0.283070918533613
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN	9	0.135060058802069
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN	10	-0.0503814636890492
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN	11	-0.0562291917171157
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP	0	-0.192142425019915
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP	1	-0.0205594090234309
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP	2	-0.162696197962917
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP	3	-0.190597157809984
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP	4	-0.30345559062048
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP	5	-0.0101581845214279
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP	6	0.257947848907061
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP	7	-0.15358362011257
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP	8	-0.297362384345488
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP	9	-0.0173896695641942
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP	10	0.239472009017837
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP	11	0.233958133340279
ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN	0	-0.268010958101547
ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN	1	-0.131098949506835
ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN	2	-0.0708562810804537
ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN	3	-0.41849089272489
ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN	4	-0.280037803949034
ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN	5	-0.167031968598974
ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN	6	-0.144201345582922
ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN	7	0.0909706046461577
ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN	8	0.107084565778475
ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN	9	0.0816439391209926
ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN	10	-0.245774996082528
ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN	11	0.0451036720053319
AFFAR_YY1_TARGETS_DN	0	-0.236576615875339
AFFAR_YY1_TARGETS_DN	1	-0.0226787624325267
AFFAR_YY1_TARGETS_DN	2	-0.15288570602617
AFFAR_YY1_TARGETS_DN	3	-0.126357109592878
AFFAR_YY1_TARGETS_DN	4	-0.00522697057362716
AFFAR_YY1_TARGETS_DN	5	-0.0390398692383212
AFFAR_YY1_TARGETS_DN	6	0.313209432351335
AFFAR_YY1_TARGETS_DN	7	-0.197829411994784
AFFAR_YY1_TARGETS_DN	8	-0.061274850521112
AFFAR_YY1_TARGETS_DN	9	0.143289352054768
AFFAR_YY1_TARGETS_DN	10	-0.0141028281877715
AFFAR_YY1_TARGETS_DN	11	0.0895539451876971
AFFAR_YY1_TARGETS_UP	0	-0.145586392418176
AFFAR_YY1_TARGETS_UP	1	0.104723674287674
AFFAR_YY1_TARGETS_UP	2	-0.135312441690553
AFFAR_YY1_TARGETS_UP	3	-0.129579843976067
AFFAR_YY1_TARGETS_UP	4	0.0850494951294747
AFFAR_YY1_TARGETS_UP	5	-0.114827055726089
AFFAR_YY1_TARGETS_UP	6	-0.139376195557098
AFFAR_YY1_TARGETS_UP	7	-0.0720142083652746
AFFAR_YY1_TARGETS_UP	8	0.130768647215075
AFFAR_YY1_TARGETS_UP	9	0.200513422164339
AFFAR_YY1_TARGETS_UP	10	-0.142231259344124
AFFAR_YY1_TARGETS_UP	11	-0.150920728247851
AGARWAL_AKT_PATHWAY_TARGETS	0	-0.247203733167031
AGARWAL_AKT_PATHWAY_TARGETS	1	-0.375138646062349
AGARWAL_AKT_PATHWAY_TARGETS	2	0.728599083029074
AGARWAL_AKT_PATHWAY_TARGETS	3	-0.281494651310219
AGARWAL_AKT_PATHWAY_TARGETS	4	0.611753426202735
