ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment,gs_description,results_path
HP_ABNORMAL_NUMBER_OF_ERYTHROID_PRECURSORS,HP_ABNORMAL_NUMBER_OF_ERYTHROID_PRECURSORS,22,0.768527707367608,2.31549505505684,1.74979605065728e-06,0.000744268935820742,0.000628042885490084,254,tags=64%, list=11%, signal=57%,RPS27/RPS15A/RPL5/RPS14/RPS29/RPL35A/RPL11/RPS28/RPL18/RPS10/RPS7/RPS19/RPL31/RPL26,Abnormal number of erythroid precursors,C5/HPO
HP_ABNORMAL_ERYTHROCYTE_ENZYME_LEVEL,HP_ABNORMAL_ERYTHROCYTE_ENZYME_LEVEL,21,0.742856954016626,2.21657743533297,2.00633249426295e-05,0.0014891445624085,0.00125659772009101,254,tags=62%, list=11%, signal=56%,RPS27/RPS15A/RPL5/RPS29/RPL35A/RPL11/RPS28/RPL18/RPS10/RPS7/RPS19/RPL31/RPL26,Abnormal erythrocyte enzyme level,C5/HPO
HP_THROMBOCYTOSIS,HP_THROMBOCYTOSIS,28,0.670324812847905,2.14573069038897,2.69516829519239e-05,0.00182246658023968,0.00153786771780389,254,tags=54%, list=11%, signal=48%,RPS27/RPS15A/RPL5/RPSA/RPS14/RPS29/RPL35A/RPL11/RPS28/RPL18/RPS10/RPS7/RPS19/RPL31/RPL26,Thrombocytosis,C5/HPO
HP_MACROCYTIC_ANEMIA,HP_MACROCYTIC_ANEMIA,25,0.706508074265311,2.19046592610138,2.72824338359234e-05,0.00182246658023968,0.00153786771780389,254,tags=56%, list=11%, signal=50%,RPS27/RPS15A/RPL5/RPS14/RPS29/RPL35A/RPL11/RPS28/RPL18/RPS10/RPS7/RPS19/RPL31/RPL26,Macrocytic anemia,C5/HPO
HP_ABNORMAL_HEMOGLOBIN,HP_ABNORMAL_HEMOGLOBIN,24,0.708692847438915,2.18088241173405,3.32578816750839e-05,0.00193550615114729,0.0016332548754166,254,tags=54%, list=11%, signal=49%,RPS27/RPS15A/RPL5/RPS29/RPL35A/RPL11/RPS28/RPL18/RPS10/RPS7/RPS19/RPL31/RPL26,Abnormal hemoglobin,C5/HPO
HP_ABNORMAL_T_CELL_SUBSET_DISTRIBUTION,HP_ABNORMAL_T_CELL_SUBSET_DISTRIBUTION,22,0.7215223681739,2.17387279548066,3.39926060860933e-05,0.00193550615114729,0.0016332548754166,246,tags=50%, list=11%, signal=45%,IL7R/CD3E/CD3D/CD3G/LCK/ITK/ZAP70/MYC/CD247/RASGRP1/ATM,Abnormal T cell subset distribution,C5/HPO
HP_OSTEOSARCOMA,HP_OSTEOSARCOMA,22,0.721756063808433,2.17457689642714,3.39926060860933e-05,0.00193550615114729,0.0016332548754166,254,tags=59%, list=11%, signal=53%,RPS27/RPS15A/RPL5/RPS29/RPL35A/RPL11/RPS28/RPL18/RPS10/RPS7/RPS19/RPL31/RPL26,Osteosarcoma,C5/HPO
HP_NONIMMUNE_HYDROPS_FETALIS,HP_NONIMMUNE_HYDROPS_FETALIS,22,0.72099636453146,2.17228800052618,3.47695715774963e-05,0.00193550615114729,0.0016332548754166,254,tags=59%, list=11%, signal=53%,RPS27/RPS15A/RPL5/RPS29/RPL35A/RPL11/RPS28/RPL18/RPS10/RPS7/RPS19/RPL31/RPL26,Nonimmune hydrops fetalis,C5/HPO
HP_APLASIA_HYPOPLASIA_OF_THE_EAR,HP_APLASIA_HYPOPLASIA_OF_THE_EAR,31,0.65758809746116,2.17359430760406,4.55760196604761e-05,0.00243558249065584,0.00205523861289979,254,tags=42%, list=11%, signal=38%,RPS27/RPS15A/RPL5/RPS29/RPL35A/RPL11/RPS28/RPL18/RPS10/RPS7/RPS19/RPL31/RPL26,Aplasia/Hypoplasia of the ear,C5/HPO
HP_SKIN_RASH,HP_SKIN_RASH,34,-0.718096403214727,-1.97899437857224,6.12970754348256e-05,0.00314972664542027,0.00265786104415782,270,tags=47%, list=12%, signal=42%,ADA2/CIITA/BTK/LYST/CLEC7A/TNFRSF1B/CD79B/NCF1/NCF2/CYBB/CYBA/CD79A/HLA-DPB1/HLA-DPA1/HLA-DRB1/LYZ,Skin rash,C5/HPO
HP_NEOPLASM_OF_THE_COLON,HP_NEOPLASM_OF_THE_COLON,31,0.648945376198694,2.14502662243635,6.98826231025096e-05,0.00343784227518534,0.00290098414491294,440,tags=55%, list=19%, signal=45%,RPS27/RPS15A/RPL5/RPS29/RPL35A/RPL11/RPS28/RPL18/RPS10/RPS7/RPS19/RPL31/RPL26/RPS20/RPL35/TGFBR2/RPL27,Neoplasm of the colon,C5/HPO
HP_COGNITIVE_IMPAIRMENT,HP_COGNITIVE_IMPAIRMENT,90,-0.560077632225808,-1.8140432088586,7.45956828305363e-05,0.00343784227518534,0.00290098414491294,320,tags=26%, list=14%, signal=23%,MT-ND1/CSTB/MYD88/CTSD/MT-ND4/PPT1/COMT/ADA2/FLNA/LYST/ACTB/SLC7A7/ASAH1/CTSH/NPC2/TYMP/GRN/HLA-DQB1/FTL/PSAP/HLA-DRB1/TYROBP/CST3,Cognitive impairment,C5/HPO
HP_ABNORMALITY_OF_THE_MUSCULATURE_OF_THE_HAND,HP_ABNORMALITY_OF_THE_MUSCULATURE_OF_THE_HAND,25,0.686198569170645,2.12749809812276,7.4623821841598e-05,0.00343784227518534,0.00290098414491294,254,tags=56%, list=11%, signal=50%,RPS27/RPS15A/RPL5/RPS29/RPL35A/RPL11/RPS28/RPL18/HINT1/RPS10/RPS7/RPS19/RPL31/RPL26,Abnormality of the musculature of the hand,C5/HPO
HP_TRIPHALANGEAL_THUMB,HP_TRIPHALANGEAL_THUMB,21,0.715984235167702,2.13639313887522,7.86911757724068e-05,0.00350438036106452,0.00295713155271045,254,tags=62%, list=11%, signal=56%,RPS27/RPS15A/RPL5/RPS29/RPL35A/RPL11/RPS28/RPL18/RPS10/RPS7/RPS19/RPL31/RPL26,Triphalangeal thumb,C5/HPO
HP_CHEST_PAIN,HP_CHEST_PAIN,23,-0.779489722812718,-1.99185342066026,8.5400185164806e-05,0.00368047249613487,0.00310572490022096,35,tags=22%, list=2%, signal=22%,HLA-DQB1/HLA-DQA1/HLA-DPB1/HLA-DPA1/HLA-DRB1,Chest pain,C5/HPO
HP_LEUKOPENIA,HP_LEUKOPENIA,83,0.465755395281631,1.8471548447303,0.000115490268077169,0.00471265565347338,0.00397672093040497,260,tags=37%, list=11%, signal=34%,IL7R/CD3E/CD3D/CD3G/LCK/RPS27/RPS15A/RPL5/NPM1/ITK/RPS14/RPS29/RPL35A/RPL11/RPS28/RPL18/ZAP70/MYC/BCL11B/RPS10/RPS7/CD247/RASGRP1/STK4/IKZF1/RPS19/JAK3/ATM/RPL31/RPL26/PTPRC,Leukopenia,C5/HPO
HP_MYELODYSPLASIA,HP_MYELODYSPLASIA,36,0.600158354409753,2.06282952304361,0.000116405416590285,0.00471265565347338,0.00397672093040497,254,tags=39%, list=11%, signal=35%,RPS27/RPS15A/RPL5/RPS14/RPS29/RPL35A/RPL11/RPS28/RPL18/RPS10/RPS7/RPS19/RPL31/RPL26,Myelodysplasia,C5/HPO
HP_DUPLICATION_OF_THUMB_PHALANX,HP_DUPLICATION_OF_THUMB_PHALANX,24,0.686864217498433,2.11370849389153,0.000127834836628789,0.00502315710988419,0.0042387340566388,254,tags=54%, list=11%, signal=49%,RPS27/RPS15A/RPL5/RPS29/RPL35A/RPL11/RPS28/RPL18/RPS10/RPS7/RPS19/RPL31/RPL26,Duplication of thumb phalanx,C5/HPO
HP_ACUTE_MYELOID_LEUKEMIA,HP_ACUTE_MYELOID_LEUKEMIA,32,0.630113188164439,2.09840380582182,0.000134731630855796,0.00505568218779823,0.0042661799741033,254,tags=47%, list=11%, signal=42%,RPS27/RPS15A/RPL5/NPM1/RPS14/RPS29/RPL35A/RPL11/RPS28/RPL18/RPS10/RPS7/RPS19/RPL31/RPL26,Acute myeloid leukemia,C5/HPO
HP_GASTROINTESTINAL_CARCINOMA,HP_GASTROINTESTINAL_CARCINOMA,28,0.645011446408436,2.06470181273865,0.000137130995735577,0.00505568218779823,0.0042661799741033,254,tags=46%, list=11%, signal=42%,RPS27/RPS15A/RPL5/RPS29/RPL35A/RPL11/RPS28/RPL18/RPS10/RPS7/RPS19/RPL31/RPL26,Gastrointestinal carcinoma,C5/HPO
HP_RENAL_AGENESIS,HP_RENAL_AGENESIS,32,0.629344293389905,2.09584323138621,0.00014001515041058,0.00505568218779823,0.0042661799741033,254,tags=44%, list=11%, signal=39%,RPS27/RPS15A/RPL5/RPS29/RPL35A/RPL11/RPS28/RPL18/RPS10/RPS7/GATA3/RPS19/RPL31/RPL26,Renal agenesis,C5/HPO
HP_DEVELOPMENTAL_GLAUCOMA,HP_DEVELOPMENTAL_GLAUCOMA,24,0.678136620366346,2.08685078938547,0.000178380980681717,0.00620942260499842,0.00523975071695029,254,tags=54%, list=11%, signal=49%,RPS27/RPS15A/RPL5/RPS29/RPL35A/RPL11/RPS28/RPL18/RPS10/RPS7/RPS19/RPL31/RPL26,Developmental glaucoma,C5/HPO
HP_CLEFT_LIP,HP_CLEFT_LIP,37,0.596078599065599,2.06964898781497,0.000181263085026152,0.00620942260499842,0.00523975071695029,271,tags=38%, list=12%, signal=34%,RPS27/RPS15A/RPL5/RPS29/RPL35A/RPL11/RPS28/RPL18/RPS10/RPS7/RPS19/RPL31/RPL26/EIF2S3,Cleft lip,C5/HPO
HP_DEMENTIA,HP_DEMENTIA,40,-0.676112597366998,-1.92660123375223,0.000190705050749837,0.00636954869504457,0.00537487129876515,320,tags=35%, list=14%, signal=31%,MT-ND1/CSTB/MT-ND4/ADA2/LYST/ASAH1/NPC2/TYMP/GRN/HLA-DQB1/FTL/PSAP/TYROBP/CST3,Dementia,C5/HPO
HP_SPRENGEL_ANOMALY,HP_SPRENGEL_ANOMALY,24,0.673417988454546,2.07232999750634,0.000211110588839187,0.00687911577290619,0.00580486368797867,321,tags=58%, list=14%, signal=51%,RPS27/RPS15A/RPL5/RPS29/RPL35A/RPL11/RPS28/RPL18/RPS10/RPS7/RPS19/RPL31/RPL26/SYNE2,Sprengel anomaly,C5/HPO
HP_URINARY_INCONTINENCE,HP_URINARY_INCONTINENCE,23,-0.759953913047853,-1.94193298121546,0.00021889912080788,0.0069630767952221,0.00587571324273784,61,tags=22%, list=3%, signal=21%,ZEB2/HLA-DQB1/PSAP/HLA-DRB1/TYROBP,Urinary incontinence,C5/HPO
HP_AIRWAY_OBSTRUCTION,HP_AIRWAY_OBSTRUCTION,17,-0.802650632672648,-1.91473404965263,0.000231697955524983,0.00719880159491575,0.00607462693677495,102,tags=53%, list=4%, signal=51%,NCF4/COMT/NCF1/NCF2/CYBB/CYBA/SERPINA1/HLA-DPB1/HLA-DPA1,Airway obstruction,C5/HPO
HP_CHRONIC_PULMONARY_OBSTRUCTION,HP_CHRONIC_PULMONARY_OBSTRUCTION,15,-0.815784373754318,-1.89015288442916,0.000239583677787602,0.00727463167100536,0.00613861528494071,102,tags=60%, list=4%, signal=58%,NCF4/COMT/NCF1/NCF2/CYBB/CYBA/SERPINA1/HLA-DPB1/HLA-DPA1,Chronic pulmonary obstruction,C5/HPO
HP_ABNORMAL_RESPIRATORY_SYSTEM_PHYSIOLOGY,HP_ABNORMAL_RESPIRATORY_SYSTEM_PHYSIOLOGY,192,-0.46416531931381,-1.59424687012594,0.0002637446863734,0.00783028668877471,0.0066074984586178,360,tags=23%, list=16%, signal=21%,COX6B1/GLUL/IFNGR1/PFN1/SH3BP2/MT-ND1/MYD88/CTSD/NCF4/COX5A/MT-ND4/TPM3/TGFB1/COMT/UNC93B1/PLCG2/TCIRG1/COX8A/PRKCD/NUP214/FLNA/SLC11A1/SNX10/TPI1/SLC7A7/CLEC7A/ASAH1/ALOX5/CD79B/NCF1/NCF2/TALDO1/NPC2/CYBB/CYBA/HLA-DQB1/CD79A/MS4A1/HLA-DQA1/SERPINA1/HLA-DPB1/PSAP/HLA-DPA1/HLA-DRB1,Abnormal respiratory system physiology,C5/HPO
HP_DECREASED_LYMPHOCYTE_PROLIFERATION_IN_RESPONSE_TO_MITOGEN,HP_DECREASED_LYMPHOCYTE_PROLIFERATION_IN_RESPONSE_TO_MITOGEN,12,0.772685790718222,1.98403789036051,0.000282994388225086,0.00821914136236336,0.00693562905695805,236,tags=67%, list=10%, signal=60%,IL7R/CD3E/CD3D/CD27/ZAP70/CD247/RASGRP1/JAK3,Decreased lymphocyte proliferation in response to mitogen,C5/HPO
HP_ABNORMAL_PARANASAL_SINUS_MORPHOLOGY,HP_ABNORMAL_PARANASAL_SINUS_MORPHOLOGY,39,-0.662534635826536,-1.88154378037391,0.000327184940550852,0.00916948732012739,0.00773756769607346,366,tags=56%, list=16%, signal=48%,PSMB8/PRKAR1A/DOCK8/UNC119/PSMB9/MAN2B1/NOTCH2/NCF4/ADA2/CIITA/BTK/PRKCD/FLNA/CD79B/NCF1/NCF2/STXBP2/CYBB/CYBA/CD79A/HLA-DPB1/HLA-DPA1,Abnormal paranasal sinus morphology,C5/HPO
HP_ABNORMALITY_OF_THE_CEREBROSPINAL_FLUID,HP_ABNORMALITY_OF_THE_CEREBROSPINAL_FLUID,77,-0.564437056543521,-1.78573299702443,0.00032944265820817,0.00916948732012739,0.00773756769607346,628,tags=43%, list=27%, signal=32%,NDUFA6/PET100/NDUFA13/SMARCB1/NDUFS7/MT-CO2/NDUFB10/PRDX1/NDUFS6/MT-CO1/P4HB/PRKAR1A/MT-ND2/COX7B/NDUFA1/COX6B1/MAN2B1/NOTCH2/MT-ND1/MT-ND4/COMT/UNC93B1/TCIRG1/COX8A/FLNA/SNX10/AP1S2/TYMP/HLA-DQB1/FTL/PSAP/HLA-DRB1/TYROBP,Abnormality of the cerebrospinal fluid,C5/HPO
HP_ABNORMAL_LOCALIZATION_OF_KIDNEY,HP_ABNORMAL_LOCALIZATION_OF_KIDNEY,36,0.5790427745131,1.99025227524401,0.000338370593484775,0.00922577781419714,0.00778506778995047,254,tags=39%, list=11%, signal=35%,RPS27/RPS15A/RPL5/RPS29/RPL35A/RPL11/RPS28/RPL18/CD96/RPS10/RPS7/RPS19/RPL31/RPL26,Abnormal localization of kidney,C5/HPO
HP_SKIN_ULCER,HP_SKIN_ULCER,36,-0.668748307210319,-1.87051775244558,0.000401541095808801,0.0107291780800112,0.00905369502339424,331,tags=44%, list=14%, signal=39%,NOTCH2/NCF4/ADA2/TCIRG1/BTK/LYST/CLEC7A/TNFRSF1B/NCF1/NCF2/ITGB2/CYBB/CYBA/HLA-DPB1/HLA-DPA1/HLA-DRB1,Skin ulcer,C5/HPO
HP_NEOPLASM_OF_THE_SKELETAL_SYSTEM,HP_NEOPLASM_OF_THE_SKELETAL_SYSTEM,34,0.594321232443449,2.03089231073228,0.000428285955533422,0.0112194124822089,0.00946737375389671,440,tags=50%, list=19%, signal=41%,RPS27/RPS15A/RPL5/RPS29/RPL35A/RPL11/RPS28/RPL18/RPS10/RPS7/RPS19/RPL31/RPL26/RPS20/RPL35/TGFBR2/RPL27,Neoplasm of the skeletal system,C5/HPO
HP_ABNORMAL_MACROPHAGE_MORPHOLOGY,HP_ABNORMAL_MACROPHAGE_MORPHOLOGY,13,-0.833584292056656,-1.88830422949343,0.000468134939284481,0.0120019910159389,0.0101277437583286,185,tags=85%, list=8%, signal=78%,LYST/SLC7A7/ASAH1/NCF1/NCF2/NPC2/STXBP2/CYBB/CYBA/HLA-DPB1/HLA-DPA1,Abnormal macrophage morphology,C5/HPO
HP_MALABSORPTION,HP_MALABSORPTION,33,-0.683730232394209,-1.87431356834047,0.000476126889105362,0.0120019910159389,0.0101277437583286,315,tags=45%, list=14%, signal=40%,MYD88/NCF4/TGFB1/CIITA/BTK/FLNA/SLC7A7/CD79B/NCF1/NCF2/CYBB/TYMP/CYBA/CD79A/HLA-DRB1,Malabsorption,C5/HPO
HP_MENTAL_DETERIORATION,HP_MENTAL_DETERIORATION,63,-0.58817231994148,-1.80904244096257,0.000504536738082052,0.0124826126310671,0.0105333108476779,320,tags=46%, list=14%, signal=41%,PRDX1/PPP3CA/GNAS/SQSTM1/MT-CO1/CLTC/PRKAR1A/SPG21/HEXB/CHCHD10/COX6B1/MT-ND1/CSTB/CTSD/MT-ND4/PPT1/COMT/ADA2/LYST/ACTB/ASAH1/NPC2/TYMP/GRN/HLA-DQB1/FTL/PSAP/TYROBP/CST3,Mental deterioration,C5/HPO
HP_ABNORMAL_CSF_PROTEIN_LEVEL,HP_ABNORMAL_CSF_PROTEIN_LEVEL,13,-0.828632261540669,-1.87708647952258,0.000617935311628546,0.0150102104788316,0.0126661955742425,44,tags=62%, list=2%, signal=61%,MT-ND1/MT-ND4/UNC93B1/TYMP/HLA-DQB1/FTL/PSAP/HLA-DRB1,Abnormal CSF protein level,C5/HPO
HP_RENAL_HYPOPLASIA_APLASIA,HP_RENAL_HYPOPLASIA_APLASIA,47,0.524993808667877,1.89459262864857,0.000629407404998314,0.0150158623763883,0.0126709648637818,254,tags=32%, list=11%, signal=29%,RPS27/RPS15A/RPL5/RPS29/RPL35A/RPL11/RPS28/RPL18/CD96/RPS10/RPS7/GATA3/RPS19/RPL31/RPL26,Renal hypoplasia/aplasia,C5/HPO
HP_WEBBED_NECK,HP_WEBBED_NECK,36,0.563082225545917,1.93539360107647,0.000648993867198469,0.0152115053785466,0.0128360559883575,397,tags=44%, list=17%, signal=37%,RPS27/RPS15A/RPL5/RPS29/RPL35A/RPL11/RPS28/RPL18/RPS10/RPS7/RPS19/RPL31/RPL26/RASA2/KMT2A/RPL35,Webbed neck,C5/HPO
HP_DEVELOPMENTAL_CATARACT,HP_DEVELOPMENTAL_CATARACT,31,0.596424176716788,1.97142284118915,0.000666058441163452,0.0153423116792133,0.012946435399021,254,tags=42%, list=11%, signal=38%,RPS27/RPS15A/RPL5/RPS29/RPL35A/RPL11/RPS28/RPL18/RPS10/RPS7/RPS19/RPL31/RPL26,Developmental cataract,C5/HPO
HP_RESTRICTIVE_VENTILATORY_DEFECT,HP_RESTRICTIVE_VENTILATORY_DEFECT,14,-0.810547177302368,-1.86079734628258,0.000683102294514716,0.0153848774438002,0.0129823540358572,29,tags=36%, list=1%, signal=35%,PRKCD/MS4A1/HLA-DPB1/HLA-DPA1/HLA-DRB1,Restrictive ventilatory defect,C5/HPO
HP_SHORT_THUMB,HP_SHORT_THUMB,27,0.611950309658026,1.93644101346644,0.000690937609751505,0.0153848774438002,0.0129823540358572,254,tags=48%, list=11%, signal=43%,RPS27/RPS15A/RPL5/RPS29/RPL35A/RPL11/RPS28/RPL18/RPS10/RPS7/RPS19/RPL31/RPL26,Short thumb,C5/HPO
HP_COUGH,HP_COUGH,23,-0.73218682873172,-1.87097891952844,0.000855969591916109,0.0185743748261263,0.0156737751644983,181,tags=39%, list=8%, signal=36%,SLC11A1/CLEC7A/CD79B/HLA-DQB1/CD79A/HLA-DQA1/HLA-DPB1/HLA-DPA1/HLA-DRB1,Cough,C5/HPO
HP_MEMORY_IMPAIRMENT,HP_MEMORY_IMPAIRMENT,27,-0.696381530499497,-1.82711907409184,0.000865564995196645,0.0185743748261263,0.0156737751644983,320,tags=37%, list=14%, signal=32%,MT-ND1/MYD88/MT-ND4/ADA2/CTSH/GRN/HLA-DQB1/PSAP/HLA-DRB1/TYROBP,Memory impairment,C5/HPO
HP_ARTHRALGIA,HP_ARTHRALGIA,38,-0.65599733572521,-1.85605734185755,0.000875887435663141,0.0185743748261263,0.0156737751644983,366,tags=37%, list=16%, signal=31%,PSMB9/POMP/NOTCH2/PLCG2/ADA2/CIITA/PRKCD/ASAH1/MS4A1/FTL/HLA-DPB1/HLA-DPA1/HLA-DRB1/TYROBP,Arthralgia,C5/HPO
HP_NORMOCHROMIC_ANEMIA,HP_NORMOCHROMIC_ANEMIA,24,0.63476167968543,1.95337174330385,0.000958574900204276,0.0197105610773549,0.0166325330238316,254,tags=54%, list=11%, signal=49%,RPS27/RPS15A/RPL5/RPS29/RPL35A/RPL11/RPS28/RPL18/RPS10/RPS7/RPS19/RPL31/RPL26,Normochromic anemia,C5/HPO
HP_IMPAIRMENT_OF_ACTIVITIES_OF_DAILY_LIVING,HP_IMPAIRMENT_OF_ACTIVITIES_OF_DAILY_LIVING,29,-0.694942336070422,-1.85884168347382,0.000958971908703644,0.0197105610773549,0.0166325330238316,61,tags=17%, list=3%, signal=17%,ZEB2/HLA-DQB1/PSAP/HLA-DRB1/TYROBP,Impairment of activities of daily living,C5/HPO
